Name,Date,Finishers,Link,FMM_Link,Scraped,Year
Boston Marathon,4/15/2024,"25,530",https://www.marathonguide.com/results/browse.cfm?MIDD=15240415,,True,2024.0
Houston Marathon,1/14/2024,"7,164",https://www.marathonguide.com/results/browse.cfm?MIDD=2240114,,True,2024.0
Eugene Marathon,4/28/2024,"2,988",https://www.marathonguide.com/results/browse.cfm?MIDD=2558240428,,True,2024.0
REVEL Mt Charleston,4/6/2024,"1,707",https://www.marathonguide.com/results/browse.cfm?MIDD=6007240406,,True,2024.0
Phoenix Marathon,2/10/2024,"2,633",https://www.marathonguide.com/results/browse.cfm?MIDD=4338240210,,True,2024.0
City of Los Angeles Marathon,3/17/2024,"20,450",https://www.marathonguide.com/results/browse.cfm?MIDD=9240317,,True,2024.0
Jersey City Marathon,4/14/2024,"2,000",https://www.marathonguide.com/results/browse.cfm?MIDD=8542240414,,True,2024.0
Mountains 2 Beach Marathon,4/28/2024,"1,654",https://www.marathonguide.com/results/browse.cfm?MIDD=4718240428,,True,2024.0
Carmel Marathon,4/13/2024,"1,450",https://www.marathonguide.com/results/browse.cfm?MIDD=3835240413,,True,2024.0
Ventura Marathon,2/25/2024,979,https://www.marathonguide.com/results/browse.cfm?MIDD=4929240225,,True,2024.0
Big Sur International Marathon,4/28/2024,"3,424",https://www.marathonguide.com/results/browse.cfm?MIDD=18240428,,True,2024.0
Austin Marathon,2/18/2024,"4,047",https://www.marathonguide.com/results/browse.cfm?MIDD=5240218,,True,2024.0
Glass City Marathon,4/28/2024,"1,329",https://www.marathonguide.com/results/browse.cfm?MIDD=500240428,,True,2024.0
Napa Valley Marathon,3/3/2024,"1,435",https://www.marathonguide.com/results/browse.cfm?MIDD=492240303,,True,2024.0
Shamrock Sportsfest Marathon,3/17/2024,"2,004",https://www.marathonguide.com/results/browse.cfm?MIDD=495240317,,True,2024.0
2024 U.S. Olympic Team Trials - Men's Marathon,2/3/2024,150,https://www.marathonguide.com/results/browse.cfm?MIDD=8735240203,,True,2024.0
Disney World Marathon,1/7/2024,"12,694",https://www.marathonguide.com/results/browse.cfm?MIDD=481240107,,True,2024.0
The Cheap Marathon,4/20/2024,394,https://www.marathonguide.com/results/browse.cfm?MIDD=6481240420,,True,2024.0
