Name,Time,Division,Hometown,Boston Qualify
Sisay Lemma (M33),2:06:17,M18-39,"Addis Ababa,  Ethiopia",BQ
Mohamed Esa (M23),2:06:58,M18-39,"Addis Ababa,  Ethiopia",BQ
Evans Chebet (M35),2:07:22,M18-39,"Kapsabet,  Kenya",BQ
John Korir (M27),2:07:40,M18-39,"Eldoret,  Kenya",BQ
Albert Korir (M30),2:07:47,M18-39,"Nairobi,  Kenya",BQ
Isaac Mpofu (M35),2:08:17,M18-39,"Harare,  Zimbabwe",BQ
Cj Albertson (M30),2:09:53,M18-39,"Fresno, CA, USA",BQ
Yuma Morii (M33),2:09:59,M18-39,"Kyoto City,  Japan",BQ
Cybrian Kotut (M31),2:10:29,M18-39, Kenya,BQ
Zouhair Talbi (M29),2:10:45,M18-39, Morocco,BQ
Shura Kitata (M27),2:10:52,M18-39,"Addis Ababa,  Ethiopia",BQ
Sondre Moen (M33),2:11:18,M18-39,"Spikkestad,  Norway",BQ
Suguru Osako (M32),2:11:44,M18-39,"Hillsboro, OR,  Japan",BQ
Elkanah Kibet (M40),2:12:32,M40-44,"Colorado Springs, CO, USA",BQ
Ryan Eiler (M38),2:14:22,M18-39,"Boston, MA, USA",BQ
Yemane Haileselassie (M26),2:14:44,M18-39,"Oakland,  Eritrea",BQ
Primoz Kobe (M42),2:14:56,M40-44,"Novo Mesto,  Slovenia",BQ
Patrick Smyth (M37),2:15:45,M18-39,USA,BQ
Grant O'Connor (M26),2:16:17,M18-39,"West Hartford, CT, USA",BQ
Corneschi Alexandru (M32),2:16:23,M18-39,"Bucuresti,  Romania",BQ
Robert Miranda (M23),2:16:28,M18-39,"Venice, CA, USA",BQ
Ryoma Takeuchi (M31),2:16:43,M18-39,"Tokyo,  Japan",BQ
Lorenz Baum (M33),2:16:51,M18-39,"Reutlingen,  Germany",BQ
Jacob Shiohira (M27),2:17:08,M18-39,"Bentonville, AR, USA",BQ
Kento Otsu (M32),2:17:57,M18-39,"Tokyo,  Japan",BQ
Kristoffer Mugrage (M29),2:18:46,M18-39,"Alamosa, CO, USA",BQ
Prescott Leach (M41),2:19:50,M40-44,"Waltham, MA, USA",BQ
Giovanni Grano (M33),2:19:56,M18-39,"Ithaca, NY,  Italy",BQ
Andrew Mccann (M35),2:20:06,M18-39,"Westerly, RI, USA",BQ
Joel Conn (M40),2:21:35,M40-44,"Okemos, MI, USA",BQ
Ruben Sanca (M37),2:21:43,M18-39,"Dorchester, MA,  Cape Verde",BQ
