Name,Date,Finishers,Link
Boston Marathon,4/17/23,"26,600",https://www.marathonguide.com/results/browse.cfm?MIDD=15230417
Chicago Marathon,10/8/23,"48,574",https://www.marathonguide.com/results/browse.cfm?MIDD=67231008
New York City Marathon,11/5/23,"51,295",https://www.marathonguide.com/results/browse.cfm?MIDD=472231105
Philadelphia Marathon,11/19/23,"11,412",https://www.marathonguide.com/results/browse.cfm?MIDD=479231119
Grandma's Marathon,6/17/23,"7,182",https://www.marathonguide.com/results/browse.cfm?MIDD=42230617
Houston Marathon,1/15/23,"6,105",https://www.marathonguide.com/results/browse.cfm?MIDD=2230115
Indianapolis Monumental Marathon,10/28/23,"4,214",https://www.marathonguide.com/results/browse.cfm?MIDD=2953231028
REVEL Big Bear and Half Marathon,11/18/23,"1,837",https://www.marathonguide.com/results/browse.cfm?MIDD=6600231118
Toronto Waterfront Marathon,10/15/23,"4,559",https://www.marathonguide.com/results/browse.cfm?MIDD=1287231015
REVEL Mt Charleston,4/1/23,"1,516",https://www.marathonguide.com/results/browse.cfm?MIDD=6007230401
St. George Marathon,10/7/23,"3,815",https://www.marathonguide.com/results/browse.cfm?MIDD=57231007
Richmond Marathon,11/11/23,"4,083",https://www.marathonguide.com/results/browse.cfm?MIDD=477231111
Eugene Marathon,4/30/23,"2,038",https://www.marathonguide.com/results/browse.cfm?MIDD=2558230430
Marine Corps Marathon,10/29/23,"13,662",https://www.marathonguide.com/results/browse.cfm?MIDD=41231029
Phoenix Marathon,2/4/23,"1,926",https://www.marathonguide.com/results/browse.cfm?MIDD=4338230204
Vancouver International Marathon,5/7/23,"4,918",https://www.marathonguide.com/results/browse.cfm?MIDD=21230507
Mountains 2 Beach Marathon,5/21/23,"1,423",https://www.marathonguide.com/results/browse.cfm?MIDD=4718230521
City of Los Angeles Marathon,L.A.,"16,973",https://www.marathonguide.com/results/browse.cfm?MIDD=9230319
Columbus Marathon,10/15/23,"3,006",https://www.marathonguide.com/results/browse.cfm?MIDD=473231015
Ottawa Marathon,National,"2,431",https://www.marathonguide.com/results/browse.cfm?MIDD=24230528
Big Cottonwood Marathon,9/9/23,"1,572",https://www.marathonguide.com/results/browse.cfm?MIDD=4587230909
Marathon P'tit Train du Nord,10/1/23,"1,817",https://www.marathonguide.com/results/browse.cfm?MIDD=9173231001
Glass City Marathon,4/23/23,"1,161",https://www.marathonguide.com/results/browse.cfm?MIDD=500230423
Jersey City Marathon,4/23/23,"1,934",https://www.marathonguide.com/results/browse.cfm?MIDD=8542230423
Light at the End of the Tunnel Marathon,6/11/23,757,https://www.marathonguide.com/results/browse.cfm?MIDD=3085230611
Toronto Marathon,5/7/23,"2,417",https://www.marathonguide.com/results/browse.cfm?MIDD=64230507
Bayshore Marathon,5/27/23,"1,366",https://www.marathonguide.com/results/browse.cfm?MIDD=513230527
Wineglass Marathon,10/1/23,"1,647",https://www.marathonguide.com/results/browse.cfm?MIDD=539231001
Erie Marathon at Presque Isle,9/10/23,944,https://www.marathonguide.com/results/browse.cfm?MIDD=533230910
Cincinnati Flying Pig Marathon,5/7/23,"4,489",https://www.marathonguide.com/results/browse.cfm?MIDD=508230507
Baystate Marathon,10/15/23,936,https://www.marathonguide.com/results/browse.cfm?MIDD=66231015
Detroit International Marathon,10/15/23,"3,080",https://www.marathonguide.com/results/browse.cfm?MIDD=40231015
The Tunnel Lite Marathon,9/10/23,664,https://www.marathonguide.com/results/browse.cfm?MIDD=5073230910
Napa Valley Marathon,3/5/23,"1,452",https://www.marathonguide.com/results/browse.cfm?MIDD=492230305
Shamrock Sportsfest Marathon,3/19/23,"1,689",https://www.marathonguide.com/results/browse.cfm?MIDD=495230319
Carmel Marathon,4/8/23,936,https://www.marathonguide.com/results/browse.cfm?MIDD=3835230408
Long Beach Marathon,10/15/23,"2,516",https://www.marathonguide.com/results/browse.cfm?MIDD=1057231015
Hartford Marathon,10/14/23,"1,467",https://www.marathonguide.com/results/browse.cfm?MIDD=59231014
Dallas Marathon,formerly,"3,377",https://www.marathonguide.com/results/browse.cfm?MIDD=475231210
Ventura Marathon,2/26/23,758,https://www.marathonguide.com/results/browse.cfm?MIDD=4929230226
The San Francisco Marathon,7/23/23,"4,883",https://www.marathonguide.com/results/browse.cfm?MIDD=521230723
Victoria Marathon,10/8/23,"1,443",https://www.marathonguide.com/results/browse.cfm?MIDD=62231008
Pittsburgh Marathon,5/7/23,"3,000",https://www.marathonguide.com/results/browse.cfm?MIDD=3077230507
Honolulu Marathon,12/10/23,"15,044",https://www.marathonguide.com/results/browse.cfm?MIDD=480231210
Jack and Jill's Downhill Saturday Marathon,7/29/23,761,https://www.marathonguide.com/results/browse.cfm?MIDD=6718230729
Utah Valley Marathon,6/3/23,996,https://www.marathonguide.com/results/browse.cfm?MIDD=2964230603
Steamtown Marathon,10/8/23,867,https://www.marathonguide.com/results/browse.cfm?MIDD=540231008
Rockies Marathon,6/3/23,711,https://www.marathonguide.com/results/browse.cfm?MIDD=5437230603
Jack and Jill's Downhill Marathon,7/30/23,510,https://www.marathonguide.com/results/browse.cfm?MIDD=5803230730
Cape Cod Marathon,10/8/23,897,https://www.marathonguide.com/results/browse.cfm?MIDD=69231008
