Age,M,F,X
18,3:00:00,3:30:00,3:30:00
19,3:00:00,3:30:00,3:30:00
20,3:00:00,3:30:00,3:30:00
21,3:00:00,3:30:00,3:30:00
22,3:00:00,3:30:00,3:30:00
23,3:00:00,3:30:00,3:30:00
24,3:00:00,3:30:00,3:30:00
25,3:00:00,3:30:00,3:30:00
26,3:00:00,3:30:00,3:30:00
27,3:00:00,3:30:00,3:30:00
28,3:00:00,3:30:00,3:30:00
29,3:00:00,3:30:00,3:30:00
30,3:00:00,3:30:00,3:30:00
31,3:00:00,3:30:00,3:30:00
32,3:00:00,3:30:00,3:30:00
33,3:00:00,3:30:00,3:30:00
34,3:00:00,3:30:00,3:30:00
35,3:05:00,3:35:00,3:35:00
36,3:05:00,3:35:00,3:35:00
37,3:05:00,3:35:00,3:35:00
38,3:05:00,3:35:00,3:35:00
39,3:05:00,3:35:00,3:35:00
40,3:10:00,3:40:00,3:40:00
41,3:10:00,3:40:00,3:40:00
42,3:10:00,3:40:00,3:40:00
43,3:10:00,3:40:00,3:40:00
44,3:10:00,3:40:00,3:40:00
45,3:20:00,3:50:00,3:50:00
46,3:20:00,3:50:00,3:50:00
47,3:20:00,3:50:00,3:50:00
48,3:20:00,3:50:00,3:50:00
49,3:20:00,3:50:00,3:50:00
50,3:25:00,3:55:00,3:55:00
51,3:25:00,3:55:00,3:55:00
52,3:25:00,3:55:00,3:55:00
53,3:25:00,3:55:00,3:55:00
54,3:25:00,3:55:00,3:55:00
55,3:35:00,4:05:00,4:05:00
56,3:35:00,4:05:00,4:05:00
57,3:35:00,4:05:00,4:05:00
58,3:35:00,4:05:00,4:05:00
59,3:35:00,4:05:00,4:05:00
60,3:50:00,4:20:00,4:20:00
61,3:50:00,4:20:00,4:20:00
62,3:50:00,4:20:00,4:20:00
63,3:50:00,4:20:00,4:20:00
64,3:50:00,4:20:00,4:20:00
65,4:05:00,4:35:00,4:35:00
66,4:05:00,4:35:00,4:35:00
67,4:05:00,4:35:00,4:35:00
68,4:05:00,4:35:00,4:35:00
69,4:05:00,4:35:00,4:35:00
70,4:20:00,4:50:00,4:50:00
71,4:20:00,4:50:00,4:50:00
72,4:20:00,4:50:00,4:50:00
73,4:20:00,4:50:00,4:50:00
74,4:20:00,4:50:00,4:50:00
75,4:35:00,5:05:00,5:05:00
76,4:35:00,5:05:00,5:05:00
77,4:35:00,5:05:00,5:05:00
78,4:35:00,5:05:00,5:05:00
79,4:35:00,5:05:00,5:05:00
80,4:50:00,5:20:00,5:20:00
81,4:50:00,5:20:00,5:20:00
82,4:50:00,5:20:00,5:20:00
83,4:50:00,5:20:00,5:20:00
84,4:50:00,5:20:00,5:20:00
85,4:50:00,5:20:00,5:20:00
86,4:50:00,5:20:00,5:20:00
87,4:50:00,5:20:00,5:20:00
88,4:50:00,5:20:00,5:20:00
89,4:50:00,5:20:00,5:20:00
90,4:50:00,5:20:00,5:20:00
91,4:50:00,5:20:00,5:20:00
92,4:50:00,5:20:00,5:20:00
93,4:50:00,5:20:00,5:20:00
94,4:50:00,5:20:00,5:20:00
95,4:50:00,5:20:00,5:20:00
96,4:50:00,5:20:00,5:20:00
97,4:50:00,5:20:00,5:20:00
98,4:50:00,5:20:00,5:20:00
99,4:50:00,5:20:00,5:20:00
100,4:50:00,5:20:00,5:20:00
101,4:50:00,5:20:00,5:20:00
102,4:50:00,5:20:00,5:20:00
103,4:50:00,5:20:00,5:20:00
104,4:50:00,5:20:00,5:20:00
105,4:50:00,5:20:00,5:20:00
106,4:50:00,5:20:00,5:20:00
107,4:50:00,5:20:00,5:20:00
108,4:50:00,5:20:00,5:20:00
109,4:50:00,5:20:00,5:20:00
110,4:50:00,5:20:00,5:20:00
