Name,Date,Finishers,Link,Scraped
Boston Marathon,4/15/2024,"25,530",https://www.marathonguide.com/results/browse.cfm?MIDD=15240415,TRUE
Houston Marathon,1/14/2024,"7,164",https://www.marathonguide.com/results/browse.cfm?MIDD=2240114,TRUE
Eugene Marathon,4/28/2024,"2,988",https://www.marathonguide.com/results/browse.cfm?MIDD=2558240428,TRUE
REVEL Mt Charleston,4/6/2024,"1,707",https://www.marathonguide.com/results/browse.cfm?MIDD=6007240406,TRUE
Phoenix Marathon,2/10/2024,"2,633",https://www.marathonguide.com/results/browse.cfm?MIDD=4338240210,TRUE
City of Los Angeles Marathon,3/17/2024,"20,450",https://www.marathonguide.com/results/browse.cfm?MIDD=9240317,TRUE
Jersey City Marathon,4/14/2024,"2,000",https://www.marathonguide.com/results/browse.cfm?MIDD=8542240414,TRUE
Mountains 2 Beach Marathon,4/28/2024,"1,654",https://www.marathonguide.com/results/browse.cfm?MIDD=4718240428,TRUE
Carmel Marathon,4/13/2024,"1,450",https://www.marathonguide.com/results/browse.cfm?MIDD=3835240413,TRUE
Ventura Marathon,2/25/2024,979,https://www.marathonguide.com/results/browse.cfm?MIDD=4929240225,TRUE
Big Sur International Marathon,4/28/2024,"3,424",https://www.marathonguide.com/results/browse.cfm?MIDD=18240428,TRUE
Austin Marathon,2/18/2024,"4,047",https://www.marathonguide.com/results/browse.cfm?MIDD=5240218,TRUE
Glass City Marathon,4/28/2024,"1,329",https://www.marathonguide.com/results/browse.cfm?MIDD=500240428,TRUE
Napa Valley Marathon,3/3/2024,"1,435",https://www.marathonguide.com/results/browse.cfm?MIDD=492240303,TRUE
Shamrock Sportsfest Marathon,3/17/2024,"2,004",https://www.marathonguide.com/results/browse.cfm?MIDD=495240317,TRUE
2024 U.S. Olympic Team Trials - Men's Marathon,2/3/2024,150,https://www.marathonguide.com/results/browse.cfm?MIDD=8735240203,TRUE
Disney World Marathon,1/7/2024,"12,694",https://www.marathonguide.com/results/browse.cfm?MIDD=481240107,TRUE
The Cheap Marathon,4/20/2024,394,https://www.marathonguide.com/results/browse.cfm?MIDD=6481240420,TRUE
Surf City Marathon,2/4/2024,"1,542",https://www.marathonguide.com/results/browse.cfm?MIDD=484240204,TRUE
Myrtle Beach Marathon,3/2/2024,"1,260",https://www.marathonguide.com/results/browse.cfm?MIDD=489240302,TRUE
Rhode Races Newport Marathon,4/13/2024,955,https://www.marathonguide.com/results/browse.cfm?MIDD=9153240413,TRUE
Louisiana Marathon,1/14/2024,997,https://www.marathonguide.com/results/browse.cfm?MIDD=4041240114,TRUE
The Woodlands Marathon,3/2/2024,854,https://www.marathonguide.com/results/browse.cfm?MIDD=4022240302,TRUE
2024 U.S. Olympic Team Trials - Women's Marathon,2/3/2024,117,https://www.marathonguide.com/results/browse.cfm?MIDD=8746240203,TRUE
Tobacco Road Marathon,3/17/2024,869,https://www.marathonguide.com/results/browse.cfm?MIDD=3392240317,TRUE
Wilmington Marathon,2/24/2024,899,https://www.marathonguide.com/results/browse.cfm?MIDD=3393240224,TRUE
Carlsbad Marathon,1/14/2024,945,https://www.marathonguide.com/results/browse.cfm?MIDD=1013240114,TRUE
Eau Claire Marathon,4/28/2024,624,https://www.marathonguide.com/results/browse.cfm?MIDD=3279240428,TRUE
One City Marathon,3/3/2024,471,https://www.marathonguide.com/results/browse.cfm?MIDD=5699240303,TRUE
Oklahoma City Memorial Marathon,4/28/2024,"1,877",https://www.marathonguide.com/results/browse.cfm?MIDD=1538240428,TRUE
Salt Lake City Marathon,4/20/2024,"1,339",https://www.marathonguide.com/results/browse.cfm?MIDD=2034240420,TRUE
Kentucky Derby Festival Marathon,4/27/2024,"1,225",https://www.marathonguide.com/results/browse.cfm?MIDD=1726240427,TRUE
Coastal Delaware Running Festival,4/14/2024,699,https://www.marathonguide.com/results/browse.cfm?MIDD=5596240414,TRUE
Boston Marathon,4/17/2023,"26,600",https://www.marathonguide.com/results/browse.cfm?MIDD=15230417,TRUE
Chicago Marathon,10/8/2023,"48,574",https://www.marathonguide.com/results/browse.cfm?MIDD=67231008,TRUE
New York City Marathon,11/5/2023,"51,295",https://www.marathonguide.com/results/browse.cfm?MIDD=472231105,TRUE
Philadelphia Marathon,11/19/2023,"11,412",https://www.marathonguide.com/results/browse.cfm?MIDD=479231119,TRUE
Grandma's Marathon,6/17/2023,"7,182",https://www.marathonguide.com/results/browse.cfm?MIDD=42230617,TRUE
Houston Marathon,1/15/2023,"6,105",https://www.marathonguide.com/results/browse.cfm?MIDD=2230115,TRUE
Indianapolis Monumental Marathon,10/28/2023,"4,214",https://www.marathonguide.com/results/browse.cfm?MIDD=2953231028,TRUE
REVEL Big Bear and Half Marathon,11/18/2023,"1,837",https://www.marathonguide.com/results/browse.cfm?MIDD=6600231118,TRUE
Toronto Waterfront Marathon,10/15/2023,"4,559",https://www.marathonguide.com/results/browse.cfm?MIDD=1287231015,TRUE
REVEL Mt Charleston,4/1/2023,"1,516",https://www.marathonguide.com/results/browse.cfm?MIDD=6007230401,TRUE
St. George Marathon,10/7/2023,"3,815",https://www.marathonguide.com/results/browse.cfm?MIDD=57231007,TRUE
Richmond Marathon,11/11/2023,"4,083",https://www.marathonguide.com/results/browse.cfm?MIDD=477231111,TRUE
Eugene Marathon,4/30/2023,"2,038",https://www.marathonguide.com/results/browse.cfm?MIDD=2558230430,TRUE
Marine Corps Marathon,10/29/2023,"13,662",https://www.marathonguide.com/results/browse.cfm?MIDD=41231029,TRUE
Phoenix Marathon,2/4/2023,"1,926",https://www.marathonguide.com/results/browse.cfm?MIDD=4338230204,TRUE
Vancouver International Marathon,5/7/2023,"4,918",https://www.marathonguide.com/results/browse.cfm?MIDD=21230507,TRUE
Mountains 2 Beach Marathon,5/21/2023,"1,423",https://www.marathonguide.com/results/browse.cfm?MIDD=4718230521,TRUE
Columbus Marathon,10/15/2023,"3,006",https://www.marathonguide.com/results/browse.cfm?MIDD=473231015,TRUE
Ottawa Marathon,5/8/2023,"2,431",https://www.marathonguide.com/results/browse.cfm?MIDD=24230528,TRUE
Big Cottonwood Marathon,9/9/2023,"1,572",https://www.marathonguide.com/results/browse.cfm?MIDD=4587230909,TRUE
Marathon P'tit Train du Nord,10/1/2023,"1,817",https://www.marathonguide.com/results/browse.cfm?MIDD=9173231001,TRUE
Glass City Marathon,4/23/2023,"1,161",https://www.marathonguide.com/results/browse.cfm?MIDD=500230423,TRUE
Jersey City Marathon,4/23/2023,"1,934",https://www.marathonguide.com/results/browse.cfm?MIDD=8542230423,TRUE
Light at the End of the Tunnel Marathon,6/11/2023,757,https://www.marathonguide.com/results/browse.cfm?MIDD=3085230611,TRUE
Toronto Marathon,5/7/2023,"2,417",https://www.marathonguide.com/results/browse.cfm?MIDD=64230507,TRUE
Bayshore Marathon,5/27/2023,"1,366",https://www.marathonguide.com/results/browse.cfm?MIDD=513230527,TRUE
Wineglass Marathon,10/1/2023,"1,647",https://www.marathonguide.com/results/browse.cfm?MIDD=539231001,TRUE
Erie Marathon at Presque Isle,9/10/2023,944,https://www.marathonguide.com/results/browse.cfm?MIDD=533230910,TRUE
Cincinnati Flying Pig Marathon,5/7/2023,"4,489",https://www.marathonguide.com/results/browse.cfm?MIDD=508230507,TRUE
Baystate Marathon,10/15/2023,936,https://www.marathonguide.com/results/browse.cfm?MIDD=66231015,TRUE
Detroit International Marathon,10/15/2023,"3,080",https://www.marathonguide.com/results/browse.cfm?MIDD=40231015,TRUE
The Tunnel Lite Marathon,9/10/2023,664,https://www.marathonguide.com/results/browse.cfm?MIDD=5073230910,TRUE
Napa Valley Marathon,3/5/2023,"1,452",https://www.marathonguide.com/results/browse.cfm?MIDD=492230305,TRUE
Shamrock Sportsfest Marathon,3/19/2023,"1,689",https://www.marathonguide.com/results/browse.cfm?MIDD=495230319,TRUE
Carmel Marathon,4/8/2023,936,https://www.marathonguide.com/results/browse.cfm?MIDD=3835230408,TRUE
Long Beach Marathon,10/15/2023,"2,516",https://www.marathonguide.com/results/browse.cfm?MIDD=1057231015,TRUE
Hartford Marathon,10/14/2023,"1,467",https://www.marathonguide.com/results/browse.cfm?MIDD=59231014,TRUE
Dallas Marathon,12/10/2023,"3,377",https://www.marathonguide.com/results/browse.cfm?MIDD=475231210,TRUE
Ventura Marathon,2/26/2023,758,https://www.marathonguide.com/results/browse.cfm?MIDD=4929230226,TRUE
The San Francisco Marathon,7/23/2023,"4,883",https://www.marathonguide.com/results/browse.cfm?MIDD=521230723,TRUE
Victoria Marathon,10/8/2023,"1,443",https://www.marathonguide.com/results/browse.cfm?MIDD=62231008,TRUE
Pittsburgh Marathon,5/7/2023,"3,000",https://www.marathonguide.com/results/browse.cfm?MIDD=3077230507,TRUE
Honolulu Marathon,12/10/2023,"15,044",https://www.marathonguide.com/results/browse.cfm?MIDD=480231210,TRUE
