Marathon,Year,City,State,Link,FMM_Link,Date
Grandmas Marathon,2024,Duluth,MN,,https://findmymarathon.com/race-detail.php?zname=Grandmas%20Marathon,
Light at the End of the Tunnel Marathon,2024,North Bend,WA,,https://findmymarathon.com/race-detail.php?zname=Light%20at%20the%20End%20of%20the%20Tunnel%20Marathon,
Bayshore Marathon,2024,Traverse City,MI,,https://findmymarathon.com/race-detail.php?zname=Bayshore%20Marathon,
REVEL Rockies Marathon,2024,Morrison,CO,,https://findmymarathon.com/race-detail.php?zname=REVEL%20Rockies%20Marathon,
Utah Valley Marathon,2024,Provo,UT,,https://findmymarathon.com/race-detail.php?zname=Utah%20Valley%20Marathon,
Vermont City Marathon,2024,Burlington,VT,,https://findmymarathon.com/race-detail.php?zname=Vermont%20City%20Marathon,
Fargo Marathon,2024,Fargo,ND,,https://findmymarathon.com/race-detail.php?zname=Fargo%20Marathon,
Ogden Marathon,2024,Ogden,UT,,https://findmymarathon.com/race-detail.php?zname=Ogden%20Marathon,
Buffalo Marathon,2024,Buffalo,NY,,https://findmymarathon.com/race-detail.php?zname=Buffalo%20Marathon,
Cleveland Marathon,2024,Cleveland,OH,,https://findmymarathon.com/race-detail.php?zname=Cleveland%20Marathon,
Colfax Marathon,2024,Denver,CO,,https://findmymarathon.com/race-detail.php?zname=Colfax%20Marathon,
Green Bay Marathon,2024,Green Bay,WI,,https://findmymarathon.com/race-detail.php?zname=Green%20Bay%20Marathon,
Jack and Jills Downhill,2024,Jim Thorpe,PA,,https://findmymarathon.com/race-detail.php?zname=Jack%20and%20Jills%20Downhill%20(PA)%20Marathon,
Newport Marathon,2024,Newport,OR,,https://findmymarathon.com/race-detail.php?zname=Newport%20Marathon%20(OR),
Capital City Marathon,2024,Olympia,WA,,https://findmymarathon.com/race-detail.php?zname=Capital%20City%20Marathon,
Montana Marathon,2024,Billings,MT,,https://findmymarathon.com/race-detail.php?zname=Montana%20Marathon,
Maritime Marathon,2024,Manitowoc,WI,,https://findmymarathon.com/race-detail.php?zname=Maritime%20Marathon,
Steel Rail Marathon,2024,Pittsfield,MA,,https://findmymarathon.com/race-detail.php?zname=Steel%20Rail%20Marathon,
North Olympic Discovery Marathon,2024,Port Angeles,WA,,https://findmymarathon.com/race-detail.php?zname=North%20Olympic%20Discovery%20Marathon,
Irving Marathon,2024,Irving,TX,,https://findmymarathon.com/race-detail.php?zname=Irving%20Marathon,
Med City Marathon,2024,Rochester,MN,,https://findmymarathon.com/race-detail.php?zname=Med%20City%20Marathon,
Coeur d Alene Marathon,2024,Coeur d' Alene,ID,,https://findmymarathon.com/race-detail.php?zname=Coeur%20d%20Alene%20Marathon,
Lake Placid Marathon,2024,Lake Placid,NY,,https://findmymarathon.com/race-detail.php?zname=Lake%20Placid%20Marathon,
Famous Idaho Potato Marathon,2024,Boise,ID,,https://findmymarathon.com/race-detail.php?zname=Famous%20Idaho%20Potato%20Marathon,
